density             loc                     y
   28        ,      lewis         ,       66.227
   28        ,      lewis         ,       61.499
   28        ,      lewis         ,       58.784
   28        ,      plymouth      ,      168.414
   28        ,      plymouth      ,      140.175
   28        ,      plymouth      ,      138.251
   33        ,      lewis         ,       59.603
   33        ,      lewis         ,       54.851
   33        ,      lewis         ,       61.487
   33        ,      plymouth      ,      140.414
   33        ,      plymouth      ,      147.098
   33        ,      plymouth      ,      162.199
   38        ,      lewis         ,       48.253
   38        ,      lewis         ,       43.667
   38        ,      lewis         ,       52.870
   38        ,      plymouth      ,      135.214
   38        ,      plymouth      ,      193.406
   38        ,      plymouth      ,      173.252
   43        ,      lewis         ,       44.958
   43        ,      lewis         ,       48.914
   43        ,      lewis         ,       46.908
   43        ,      plymouth      ,      179.245
   43        ,      plymouth      ,      166.719
   43        ,      plymouth      ,      171.507
